errno.EPERM,Operation not permitted,操作不被允许
errno.EPROTO,Protocol error,协议错误
errno.EMULTIHOP,Multihop attempted,多跳未遂
errno.EDOTDOT,RFS specific error,RFS特定的错诿
errno.EBADMSG,Not a data message,没有数据消息
errno.EOVERFLOW,Value too large for defined data type,值过大，定义的数据类垿
errno.ENOTUNIQ,Name not unique on network,名称网络不是唯一
errno.EBADFD,File descriptor in bad state,在状态不好的文件描述笿
errno.EREMCHG,Remote address changed,远程地址变更
errno.ELIBACC,Can not access a needed shared library,无法访问所需的共享库
errno.ELIBBAD,Accessing a corrupted shared library,访问损坏的共享库
errno.ELIBSCN,.lib section in a.out corrupted,a.out中的.lib部分损坏
errno.ELIBMAX,Attempting to link in too many shared libraries,尝试太多的共享库链接
errno.ELIBEXEC,Cannot exec a shared library directly,不能直接Exec的共享库
errno.EILSEQ,Illegal byte sequence,非法字节序列
errno.ERESTART,Interrupted system call should be restarted,中断的系统调用应重新启动
errno.ESTRPIPE,Streams pipe error,流管的错诿
errno.EUSERS,Too many users,用户太多
errno.ENOTSOCK,Socket operation on non-socket,非插槽Socket操作
errno.EDESTADDRREQ,Destination address required,所需的目标地址
errno.EMSGSIZE,Message too long,消息太长
errno.EPROTOTYPE,Protocol wrong type for socket,协议错误类型插座
errno.ENOPROTOOPT,Protocol not available,没有可用的协访
errno.EPROTONOSUPPORT,Protocol not supported,不支持协访
errno.ESOCKTNOSUPPORT,Socket type not supported,不支持套接字类型
errno.EOPNOTSUPP,Operation not supported on transport endpoint,操作上不支持传输端点
errno.EPFNOSUPPORT,Protocol family not supported,不支持协议的家庭
errno.EAFNOSUPPORT,Address family not supported by protocol,地址族不支持的协访
errno.EADDRINUSE,Address already in use,在使用地址巿
errno.EADDRNOTAVAIL,Cannot assign requested address,无法分配请求的地址
errno.ENETDOWN,Network is down,网络已关闿
errno.ENETUNREACH,Network is unreachable,网络不可辿
errno.ENETRESET,Network dropped connection because of reset,网络丢弃，因为重置连掿
errno.ECONNABORTED,Software caused connection abort,软件导致连接中断
errno.ECONNRESET,Connection reset by peer,将连接复使
errno.ENOBUFS,No buffer space available,没有可用的缓冲空闿
errno.EISCONN,Transport endpoint is already connected,传输端点已经连接
errno.ENOTCONN,Transport endpoint is not connected,交通运输端点没有连掿
errno.ESHUTDOWN,Cannot send after transport endpoint shutdown,无法发送传输端点关闭后
errno.ETOOMANYREFS,Too many references: cannot splice,引用过多：无法接吿
errno.ETIMEDOUT,Connection timed out,连接超时
errno.ECONNREFUSED,Connection refused,连接被拒绿
errno.EHOSTDOWN,Host is down,主机已关闿
errno.EHOSTUNREACH,No route to host,没有到主机的路由
errno.EALREADY,Operation already in progress,操作已在进行丿
errno.EINPROGRESS,Operation now in progress,现在进行操作
errno.ESTALE,Stale NFS file handle,陈旧NFS文件句柄
errno.EUCLEAN,Structure needs cleaning,结构需要清洿
errno.ENOTNAM,Not a XENIX named type file,不是XENIX命名的文件类垿
errno.ENAVAIL,No XENIX semaphores available,无可用XENIX信号灿
errno.EISNAM,Is a named type file,一个名为类型的文件
errno.EREMOTEIO,Remote I/O error,远程I / O错误
errno.EDQUOT,Quota exceeded,超出配额
